☺, blanc
😳, rincé
😁, souriant
😔, pensif
😌, soulagé
😒, blasé
😞, déçu
😣, persévérant
😪, somnolent
😩, lassé
😫, fatigué
😨, apeuré
😠, énervé
😡, boudant
😖, déconcerté
😵, étourdi
😲, étonné
👿, diablotin
👲, homme
👮, officier
👷, ouvrier
💂, garde
👶, bébé
👦, garçon
👧, fille
👩, femme
👴, vieil
👵, vieille
👱, personne
👸, princesse
😺, chat
👹, ogre
👺, lutin
🙈, singe
💀, crâne
👽, extraterrestre
💩, tas
🔥, feu
✨, étincelles
🌟, étoile
💫, symbole
💧, gouttelette
💨, mouvement
👂, oreille
👀, yeux
👃, nez
👅, langue
👄, bouche
👍, pouce
👌, ok
👊, poing
✌, v
👋, salut
✋, main
👐, mains
👆, index
👏, applaudissements
💪, biceps
🚶, piéton
🏃, coureur
💃, danseur
👪, famille
👬, deux
💏, baiser
💑, couple
💁, guichetier
💆, massage
💇, coupe
💅, vernis
👰, mariée
🎩, chapeau
👑, couronne
👟, chaussure
👡, sandales
👢, bottes
👕, t-shirt
👔, cravate
👚, vêtements
👗, robe
🎽, maillot
👖, jeans
👘, kimono
👙, bikini
💼, serviette
👜, sac
👝, pochette
👛, porte-monnaie
👓, lunettes
🎀, ruban
🌂, parapluie
💄, rouge
💛, cœur
💞, cœurs
💌, lettre
💋, marque
💍, bague
💎, pierre
👤, silhouette
💬, bulle
👣, empreintes
🐶, chien
🐺, loup
🐭, souris
🐹, hamster
🐰, lapin
🐸, grenouille
🐯, tigre
🐨, koala
🐻, ours
🐷, cochon
🐮, vache
🐗, sanglier
🐴, cheval
🐑, mouton
🐘, éléphant
🐼, panda
🐧, manchot
🐦, oiseau
🐤, poussin
🐔, onomatopée
🐍, serpent
🐢, tortue
🐛, insecte
🐝, abeille
🐜, fourmi
🐞, coccinelle
🐌, escargot
🐙, pieuvre
🐚, coquille
🐠, poisson
🐬, dauphin
🐳, baleine
🐲, dragon
🐡, poisson-globe
🐫, chameau
🐩, caniche
💐, bouquet
🌸, fleur
🌷, tulipe
🍀, trèfle
🌹, rose
🌻, tournesol
🌺, hibiscus
🍁, feuille
🌿, herbe
🌾, épi
🍄, champignon
🌵, cactus
🌴, palmier
🌲, arbre
🌰, châtaigne
🌱, plant
🌛, premier
🌙, croissant
🌏, globe
🌋, volcan
🌌, voie
☀, soleil
☁, nuage
⚡, signe
❄, flocon
⛄, bonhomme
🌀, cyclone
🌁, brumeux
🌈, arc-en-ciel
🌊, vague
🏠, construction
🏡, maison
🏫, école
🏢, immeuble
🏣, bureau
🏥, hôpital
🏦, banque
🏪, dépanneur
🏩, hôtel
💒, mariage
⛪, église
🏬, grand
🌇, coucher
🌆, paysage
🏯, château
⛺, tente
🏭, usine
🗼, tour
🗻, mont
🌄, lever
🌃, nuit
🗽, statue
🌉, pont
🎠, carrousel
🎡, roue
⛲, fontaine
🎢, montagnes
🚢, bateau
🚤, hors-bord
⚓, ancrer
🚀, fusée
✈, avion
💺, siège
🚉, station
🚄, train
🚇, métro
🚃, wagon
🚌, autobus
🚙, véhicule
🚗, automobile
🚕, taxi
🚚, camion
🚨, voitures
🚓, voiture
🚑, ambulance
🚲, bicyclette
💈, enseigne
🚏, arrêt
🎫, billet
⚠, panneau
⛽, pompe
🏮, lanterne
🎰, machine
♨, sources
🗿, moyai
🎭, arts
📍, punaise
🚩, drapeau
🎍, décoration
💝, coeur
🎎, poupées
🎒, sacoche
🎏, flamme
🎆, feux
🎇, cierge
🎐, carillon
🎑, cérémonie
🎃, citrouille
👻, fantôme
🎅, père
🎁, cadeau
🎉, bouton-pression
🎊, boule
🎈, ballon
🎌, drapeaux
🎥, caméra
📷, appareil-photo
📼, cassette
💿, disque
📀, dvd
💽, minidisque
💾, disquette
💻, pc
📱, téléphone
📞, récepteur
📟, bipeur
📠, télécopieur
📡, antenne
📺, télévision
📻, radio
🔊, haut-parleur
🔔, cloche
📢, sonorisation
